rank,stock_id,stock_name,market,listed_market,official_industry_raw,normalized_industry,listing_date,is_active_latest_price,latest_price_date,latest_close,revenue_12m,revenue_month_count,revenue_period_start,revenue_period_end,ranking_basis,source,source_date,quality_note
,4935,茂林-KY,twse,上市,光電業,光電業,2011-07-28,true,2026-07-29,35.0,5003826000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4942,嘉彰,twse,上市,光電業,光電業,2011-06-27,true,2026-07-29,34.3,6005330000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4944,兆遠,tpex,上櫃,光電業,光電業,,false,2023-10-25,11.6,119065000,12,2022-11-01,2023-10-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4949,有成精密,twse,上市,光電業,光電業,2024-05-09,true,2026-07-29,57.8,2592716000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4956,光鋐,twse,上市,光電業,光電業,2011-10-24,true,2026-07-29,25.35,1396814000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4960,誠美材,twse,上市,光電業,光電業,2011-10-24,true,2026-07-29,18.7,8349529000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4972,湯石照明,tpex,上櫃,光電業,光電業,2013-06-17,true,2026-07-29,16.5,924328000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4976,佳凌,twse,上市,光電業,光電業,2012-11-20,true,2026-07-29,37.7,1022561000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,4995,晶達,tpex,上櫃,光電業,光電業,2012-05-09,true,2026-07-29,45.9,1322787000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5220,萬達光電,tpex,上櫃,光電業,光電業,2018-04-26,true,2026-07-29,20.0,738917000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
