排行,股票代號,股票名稱,產業別,股價,投資組別,MA240乖離%,現金殖利率(5年均)%,盈餘發放率%,殖利率趨勢,連續配息年,填息均天數,連續獲利年,ROA(10年均)%,ROA趨勢,本業佔比,融資維持率%,預估進場價,融資追繳警戒價,通過條件數,C1>4%,C2填息,C3連配,C4上市,C5連獲,C6_ROA,C7本業,C8發放
35,3293,鈊象,文化創意業,718.0,價值,-4.39,5.27,85.3,下降,11,11.5,12,36.18,上升,96.4,159.0,756.67,586.91,7,Y,N,Y,Y,Y,Y,Y,Y
36,5287,數字,數位雲端類,146.5,價值,-11.81,7.17,80.4,上升,11,66.8,12,21.14,上升,94.0,163.3,210.03,116.62,7,Y,N,Y,Y,Y,Y,Y,Y
37,3056,富華新,建材營造,14.85,價值,-17.0,16.71,51.9,下降,10,46.8,12,6.17,下降,96.5,174.0,49.64,11.09,7,Y,N,Y,Y,Y,Y,Y,Y
38,2385,群光,電子零組件業,106.5,價值,-14.79,6.9,74.8,上升,11,23.7,12,8.74,下降,86.1,145.6,147.0,95.08,7,Y,N,Y,Y,Y,Y,Y,Y
39,2643,捷迅,航運業,57.7,價值,-17.1,8.67,60.1,上升,11,96.6,13,11.15,下降,98.8,148.2,100.0,50.62,7,Y,N,Y,Y,Y,Y,Y,Y
40,1477,聚陽,紡織纖維,214.5,價值,-20.04,6.25,95.0,上升,11,41.0,13,13.69,上升,100.6,162.7,268.33,171.43,7,Y,N,Y,Y,Y,Y,Y,Y
41,9951,皇田,電機機械,52.9,價值,-5.84,6.43,61.3,下降,10,27.5,12,9.36,下降,93.1,165.7,68.07,41.51,7,Y,N,Y,Y,Y,Y,Y,Y
42,3611,鼎翰,電腦及週邊設備業,185.0,價值,-4.55,6.16,62.4,上升,10,36.8,12,10.64,下降,97.1,160.3,227.8,150.07,7,Y,N,Y,Y,Y,Y,Y,Y
43,1537,廣隆,電機機械,125.5,價值,-0.76,7.09,92.4,上升,10,143.8,12,15.39,下降,93.3,166.6,178.0,97.94,7,Y,N,Y,Y,Y,Y,Y,Y
44,9921,巨大,運動休閒,84.6,價值,-4.15,7.8,60.0,下降,10,27.2,12,5.53,連續下降,92.6,191.6,132.0,57.4,7,Y,N,Y,Y,Y,Y,Y,Y
45,8016,矽創,電子工業,299.5,強勢,35.36,5.4,72.6,上升,11,21.8,12,17.18,連續下降,91.9,170.3,323.33,228.59,7,Y,N,Y,Y,Y,Y,Y,Y
46,2916,滿心,居家生活類,39.65,價值,-15.07,7.52,89.2,上升,11,83.8,12,9.75,上升,79.5,152.8,59.67,33.73,7,Y,N,Y,Y,Y,Y,Y,Y
47,4935,茂林-KY,電子工業,35.85,價值,-10.59,8.93,56.8,下降,11,51.8,12,5.82,下降,81.5,158.8,64.0,29.34,7,Y,Y,Y,Y,Y,Y,N,Y
48,8435,鉅邁,其他,52.7,價值,-5.43,7.21,92.9,上升,11,157.3,12,12.47,下降,94.6,160.7,76.0,42.63,7,Y,N,Y,Y,Y,Y,Y,Y
49,3533,嘉澤,電子零組件業,2010.0,強勢,14.74,1.21,48.5,上升,10,4.5,12,14.84,上升,90.5,142.8,487.53,1830.2,7,N,Y,Y,Y,Y,Y,Y,Y
50,9924,福興,居家生活,39.7,價值,-14.72,6.93,65.4,上升,11,65.8,12,9.08,下降,91.0,159.3,55.0,32.39,7,Y,N,Y,Y,Y,Y,Y,Y
51,4552,力達-KY,電機機械,19.1,價值,-14.29,5.77,46.3,上升,9,17.8,12,7.75,下降,99.2,157.8,22.04,15.74,7,Y,N,Y,Y,Y,Y,Y,Y
52,3218,大學光,生技醫療業,138.5,價值,-7.1,4.51,61.0,上升,11,14.6,12,13.84,上升,97.7,171.4,124.83,105.02,7,Y,N,Y,Y,Y,Y,Y,Y
53,3130,一零四,數位雲端,205.0,價值,-8.14,6.08,100.0,上升,11,77.5,12,12.98,下降,93.7,155.4,249.42,171.45,7,Y,N,Y,Y,Y,Y,Y,Y
54,3501,維熹,電子零組件業,40.15,價值,-17.33,7.72,67.1,上升,10,63.0,12,6.85,下降,86.0,159.3,62.0,32.77,7,Y,N,Y,Y,Y,Y,Y,Y
55,5212,凌網,資訊服務業,47.1,價值,-5.0,6.6,90.7,上升,11,89.8,12,10.36,上升,106.3,167.0,62.17,36.66,7,Y,N,Y,Y,Y,Y,Y,Y
56,4126,太醫,生技醫療業,77.1,價值,-8.48,5.88,86.4,下降,11,47.5,12,9.62,下降,90.6,161.3,90.67,62.12,7,Y,N,Y,Y,Y,Y,Y,Y
57,4417,金洲,紡織纖維,43.45,價值,-13.28,6.06,61.5,下降,11,40.8,12,8.46,上升,92.5,157.1,52.67,35.96,7,Y,N,Y,Y,Y,Y,Y,Y
58,4138,曜亞,生技醫療業,51.1,價值,-17.41,8.3,89.8,下降,11,76.2,12,6.38,下降,94.9,164.0,84.83,40.51,7,Y,N,Y,Y,Y,Y,Y,Y
59,8424,惠普,建材營造,68.9,價值,-5.68,6.43,93.8,下降,11,173.0,12,13.64,上升,95.2,161.0,88.67,55.64,7,Y,N,Y,Y,Y,Y,Y,Y
60,1590,亞德客-KY,電機機械,1430.0,強勢,35.18,1.02,44.2,上升,10,3.7,12,11.63,上升,100.0,172.1,291.27,1080.5,7,N,Y,Y,Y,Y,Y,Y,Y
61,3217,優群,電子零組件業,152.0,價值,-10.33,4.58,78.5,上升,11,24.2,12,14.46,上升,87.2,143.3,139.21,137.94,7,Y,N,Y,Y,Y,Y,Y,Y
62,6281,全國電,電子工業,51.3,價值,-15.7,8.71,86.4,下降,11,132.5,12,6.95,連續下降,97.9,167.5,89.33,39.81,7,Y,N,Y,Y,Y,Y,Y,Y
63,6201,亞弘電,電子工業,49.0,價值,-9.06,6.9,85.7,上升,10,90.8,13,8.9,上升,86.1,167.6,67.6,38.01,7,Y,N,Y,Y,Y,Y,Y,Y
64,2015,豐興,鋼鐵工業,62.7,價值,-2.19,6.06,79.8,上升,11,78.8,13,11.18,下降,93.0,167.9,76.0,48.53,7,Y,N,Y,Y,Y,Y,Y,Y
65,6242,立康,生技醫療業,35.5,價值,-8.99,6.01,68.8,下降,11,92.3,11,12.6,下降,83.1,158.9,42.67,29.04,7,Y,N,Y,Y,Y,Y,Y,Y
66,8083,瑞穎,電機機械,158.0,價值,-2.13,5.57,90.6,上升,11,91.2,13,19.13,上升,98.5,155.7,176.0,131.89,7,Y,N,Y,Y,Y,Y,Y,Y
67,4527,方土霖,電機機械,39.25,價值,-3.4,6.11,79.0,下降,11,42.2,12,7.77,上升,93.2,157.4,48.0,32.41,7,Y,N,Y,Y,Y,Y,Y,Y
68,1436,華友聯,建材營造,45.3,價值,-23.75,11.8,74.8,上升,9,81.4,10,4.68,上升,111.2,163.3,106.87,36.06,7,Y,N,Y,Y,Y,Y,Y,Y
69,9938,百和,其他,47.1,價值,-6.79,5.52,54.3,上升,10,13.2,12,6.38,下降,115.7,175.5,52.0,34.88,7,Y,Y,Y,Y,Y,Y,N,Y
70,3443,創意,電子工業,4370.0,強勢,64.08,0.29,63.4,上升,11,2.7,13,12.73,上升,95.0,156.4,253.33,3631.22,7,N,Y,Y,Y,Y,Y,Y,Y
