排行,代號,名稱,產業,目前股價,MA240,240MA乖離率,配息頻率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,原始評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比,近3月營收YoY,最新月MoM,備註
100,6274,台燿,電子,503.0,319.3186333333333,57.522908935578364,年配,1,1,1,1,1,1,1,7,入選,入選,4.454050134591681,149.0,8.513293952725272,0.9639616175178739,44.6725171453362,7.451577688278865,
101,3030,德律,電子,250.0,157.29333375,58.93871281115244,年配,1,1,1,1,1,2,1,8,入選,入選,4.791666271925784,240.83333333333334,14.208529368515775,0.9638326508488703,39.4871262180166,-10.232723505972174,填息龜速警示
102,6435,大中,半導體,169.0,106.24601166666667,59.064794385144516,年配,1,1,1,1,1,2,1,8,入選,入選,4.000946100675536,33.833333333333336,14.877028848068424,0.8842244581892744,26.782812479505182,7.064460686446417,
103,4722,國精化,傳統產業,195.0,122.31136541666666,59.42917433364576,年配,1,1,1,1,1,1,1,7,入選,入選,4.458196360828169,120.83333333333333,7.631127811096372,0.8782145298075171,-10.097808546162756,-2.9779156979820587,
104,3264,欣銓,半導體,151.0,91.30042041666665,65.38806646331207,年配,1,1,1,1,1,2,1,8,入選,入選,4.636038556750928,186.66666666666666,8.256590115363128,0.9864193847705802,20.35051471929932,5.6992685426422,填息龜速警示
105,6290,良維,電子,222.5,131.61484916666666,69.05387303087933,年配,1,1,1,1,1,1,1,7,入選,入選,4.491547328971132,102.0,7.962591254175256,0.7759193858053266,19.974230677606663,-1.3648867435635426,
106,3093,港建*,電子,44.6,26.277360416666667,69.7278542928232,年配,1,1,1,1,1,1,1,7,入選,入選,5.519615567901416,240.5,11.079808601790475,0.9843992446565464,-42.868047528505805,-1.0909514066000159,營收衰退警示 | 填息龜速警示
107,8131,福懋科,電子,65.3,38.28528874999999,70.561597240141,年配,1,1,1,1,1,1,1,7,入選,入選,5.435873437503296,367.5,9.797259677345455,0.7933024378312281,37.08816769398038,5.126730636603183,填息龜速警示
108,2449,京元電子,電子,288.0,168.32464416666664,71.09794078330967,年配,1,1,1,1,1,1,1,7,入選,入選,4.732289105318897,69.5,6.9101121504153635,1.0053954902358195,36.573590739093675,-1.1632572173973732,
109,8150,南茂,電子,61.9,36.03698583333333,71.76797273301368,年配,1,1,1,1,1,1,1,7,入選,入選,5.49222480726645,216.5,6.514782932738067,0.9069079332156462,20.76990332779156,2.9440004036781486,填息龜速警示
110,8074,鉅橡,電子,61.8,33.64511875,83.68191968411463,年配,2,1,1,1,1,1,1,8,入選,入選,5.112749288220544,194.83333333333334,5.010679485418254,0.9378362767982203,3.5160670913923164,25.761913463686014,營運動能復甦中 | 填息龜速警示
111,8039,台虹,電子,122.5,62.35961666666666,96.441233201936,年配,1,1,1,1,1,1,1,7,入選,入選,4.6278969264965575,221.0,5.185740682531245,0.9566727608673871,23.077595587256194,-2.354398459993823,填息龜速警示
112,3485,敘豐,電子,180.0,87.898605,104.78140694041731,年配,2,1,1,1,1,1,1,8,入選,入選,6.956601173093875,156.5,7.048551257990271,0.8425123384367007,,,
113,8299,群聯,半導體,1980.0,905.7943908333333,118.5926541428894,半年配,1,1,1,1,1,2,1,8,入選,入選,4.701864171298731,55.0,13.077271427962216,0.733391782804045,81.34026136328656,24.070915032586647,營運動能復甦中
114,8271,宇瞻,半導體,190.5,78.04003333333334,144.10548261341077,年配,2,1,1,1,1,1,1,8,入選,入選,5.004891165466301,182.16666666666666,8.26368236844786,0.9452491516033843,48.78943339963067,-18.660582813721394,填息龜速警示
115,2313,華通,電子,221.0,88.48140791666667,149.76998581232075,年配,0,1,1,1,1,1,1,6,入選,入選,3.5765602387913797,31.0,6.379246733343775,0.9858467044818895,5.968260227010869,7.133238998944846,
116,5289,宜鼎,電子,1060.0,395.3702104166667,168.10315296210695,年配,1,1,1,1,1,2,1,8,入選,入選,4.204885293815053,93.66666666666667,16.014229869981257,0.952033666301792,115.73964151786016,13.601451068722149,
